,Date,Open,High,Close,Adj Close,Volume,compound,subjectivity,polarity,rsi,stocastic_oscillator,mfi,macd,ema,vwap,obv,bbands_upper,bbands_lower,chaikin,target
34,6/13/2022,132.8699951,135.1999969,131.8800049,131.2785187,122207100,-0.3374,0.46400494,0.088829273,32.62563389,2.167499386,-0.020608998,-3.848442912,143.5407966,143.7230255,-288963000,155.0718374,133.9138825,-44129059.24,133.1300049
35,6/14/2022,133.1300049,133.8899994,132.7599945,132.1544952,84784300,0.8934,0.392295492,0.123432602,33.95374831,6.50242299,-0.043594064,-4.377694256,142.1033563,143.2680595,-204178700,155.9993718,131.900633,-9720797.685,134.2899933
36,6/15/2022,134.2899933,137.3399963,135.4299927,134.8123169,91533000,0,0.50926779,0.164741274,37.95041367,19.65512135,-0.043938659,-4.529470307,141.2135745,142.8617381,-112645700,156.3158185,130.8570418,11206453.57,132.0800018
37,6/16/2022,132.0800018,132.3899994,130.0599976,129.4668121,108123900,0,0.386325375,0.103784053,33.55272018,4.493408476,-0.143046347,-5.025140951,139.7264309,141.8233453,-220769600,157.1136889,128.0991712,-2350673.511,130.0700073
38,6/17/2022,130.0700073,133.0800018,131.5599976,130.9599762,134520300,0.7425,0.491506239,0.179509061,35.79096026,11.10133444,-0.20270653,-5.236562214,138.6375731,140.2269927,-86249300,156.2989499,126.3310528,8780485.893,133.4199982
39,6/21/2022,133.4199982,137.0599976,135.8699951,135.2503052,81000500,0,0.500080167,0.161002886,41.85184279,30.08809761,-0.186231056,-4.998712261,138.2685627,139.1732631,-5248800,154.9960293,125.7811161,18897325.93,134.7899933
40,6/22/2022,134.7899933,137.7599945,135.3500061,134.7326965,73409200,-0.3182,0.582598784,0.160106383,41.34477947,28.38510886,-0.171417679,-4.796877807,137.8794218,138.3350296,-78658000,153.47722,125.3913539,6061413.716,136.8200073
41,6/23/2022,136.8200073,138.5899963,138.2700043,137.6393738,72433800,0,0.429172078,0.128436147,45.34900715,44.31113862,-0.182642895,-4.351145799,137.9314995,137.601043,-6224200,150.9420059,126.0779962,24208186.36,139.8999939
42,6/24/2022,139.8999939,141.9100037,141.6600037,141.0139313,89116800,-0.4404,0.459296959,0.130728831,49.64675818,60.5857382,-0.091396782,-3.681912556,138.4286334,137.2499733,82892600,150.2285467,126.2600266,33097318.04,142.6999969
43,6/27/2022,142.6999969,143.4900055,141.6600037,141.0139313,70207900,0,0.494636364,0.233590909,49.64675818,60.5857382,-0.098563639,-3.115625398,138.8594828,136.9783924,153100500,149.2703997,126.5781743,1889011.024,142.1300049
44,6/28/2022,142.1300049,143.4199982,137.4400024,136.8131714,67083400,0,0.607979798,0.082393939,44.584865,40.32649264,-0.201350058,-2.973085696,138.6702187,136.5352755,86017100,146.7614616,127.4771117,-21449050.81,137.4600067
45,6/29/2022,137.4600067,140.6699982,139.2299957,138.5950012,66242400,0.891,0.40388483,0.097764851,47.05092678,53.88683484,-0.158301528,-2.684736485,138.7448556,136.1358328,152259500,144.184119,128.80731,-2639997.222,137.25
46,6/30/2022,137.25,138.3699951,136.7200012,136.0964508,98964500,0.3612,0.344017094,0.103418803,44.0881209,53.14879894,-0.07893719,-2.628454056,138.4748751,135.6903272,53295000,142.9738973,129.1718176,8292065.771,136.0399933
47,7/1/2022,136.0399933,139.0399933,138.9299927,138.2963562,71051600,-0.2732,0.511186869,0.10174032,47.23844413,68.44284453,0.045218192,-2.378108628,138.5355574,135.6214187,124346600,143.2421151,129.1607409,24247260.63,137.7700043
48,7/5/2022,137.7700043,141.6100006,141.5599976,140.9143829,73353800,0,0.28795045,0.026433251,50.79180341,86.64355499,0.18703323,-1.945067136,138.9388161,136.1828717,197700400,144.0011211,129.784591,30275358.84,141.3500061
49,7/6/2022,141.3500061,144.1199951,142.9199982,142.268158,74064300,0.6486,0.585797536,0.138990176,52.57063988,92.04246152,0.197553796,-1.475133529,139.4696404,136.8468815,271764700,144.9615682,130.275573,12109243.65,143.2899933
50,7/7/2022,143.2899933,146.5500031,146.3500061,145.6825409,66253700,0,0.501527247,0.15059683,56.81108612,98.85781361,0.231687966,-0.816522423,140.3870225,137.4904528,338018400,146.8779435,129.9191996,17117643.31,145.2599945
51,7/8/2022,145.2599945,147.5500031,147.0399933,146.3693695,64547800,0,0.498975967,0.163876698,57.63169455,97.12508677,0.314341996,-0.236169759,141.2740852,138.7058564,402566200,147.8263481,131.3965087,11430915.27,145.6699982
52,7/11/2022,145.6699982,146.6399994,144.8699951,144.2092743,63141600,0.9773,0.363330196,0.092771901,54.1471779,81.16648813,0.312365977,0.048108625,141.7535399,140.0397784,339424600,147.8593074,133.2649776,-9034081.057,145.7599945
53,7/12/2022,145.7599945,148.4499969,145.8600006,145.1947479,77588800,-0.128,0.513169876,0.121204657,55.46998618,82.35696437,0.245201437,0.349260405,142.301068,140.8885655,417013400,148.5517537,133.999675,-24732591.57,142.9900055
54,7/13/2022,142.9900055,146.4499969,145.4900055,144.8264465,71185600,0.7003,0.571224146,0.26979317,54.83331034,79.83656041,0.302418729,0.551710077,142.7262597,141.5257027,345827800,148.7737855,135.2262145,-3375070.926,144.0800018
55,7/14/2022,144.0800018,148.9499969,148.4700012,147.7928619,78140700,0,0.43009434,0.146545373,58.92276887,96.83797128,0.308705806,0.941757654,143.4920919,142.2153705,423968500,149.9220448,135.5350976,13737806.67,149.7799988
56,7/15/2022,149.7799988,150.8600006,150.1699982,149.4850922,76259900,0,0.467052154,0.114268707,61.08726345,95.96253605,0.281566935,1.372230497,144.3824794,142.8757187,500228400,151.4458821,135.2269739,10490226.72,150.7400055
57,7/18/2022,150.7400055,151.5700073,147.0700073,146.3992615,81420900,0.296,0.416310039,0.118554765,55.35879024,74.71910546,0.242273028,1.446564873,144.7408164,143.3734028,418807500,151.9900034,135.4557102,-25438129.33,147.9199982
58,7/19/2022,147.9199982,151.2299957,151,150.3113098,82982400,0,0.454986343,0.145902649,60.42543421,96.79771221,0.371185173,1.801822676,145.5753742,144.1322055,501789900,152.9645986,136.4182575,7738533.097,151.1199951
59,7/20/2022,151.1199951,153.7200012,153.0399933,152.3420105,64823400,-0.3612,0.494102734,0.113436949,62.78649255,96.5914384,0.390811642,2.222359477,146.5706568,144.9790306,566613300,154.3924985,136.9632144,9267401.779,154.5
